Infographics,Diagram,Figure,Illustration,VisualAidArtefact,VisualAid,
Information,BodyComponent,StructureComponent,Structure,,,
Intent,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Intention,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Interaction,Interactivity,PresentationAttribute,,,,
Interactivity,PresentationAttribute,,,,,
Interest,Impact,PresentationAttribute,,,,
Intimate,Proxemic,NonVerbalCommunication,Delivery,,,
Intonation,Paralanguage,NonVerbalCommunication,Delivery,,,
Introduction,OpeningComponent,StructureComponent,Structure,,,
KeyConcept,BodyComponent,StructureComponent,Structure,,,
KeyIdea,BodyComponent,StructureComponent,Structure,,,
KeyMessage,Conclusion,ClosingComponent,StructureComponent,Structure,,
LCDProjector,Projector,VisualAidDevice,VisualAid,,,
LanguageElement,VerbalCommunication,Delivery,,,,
Laptop,Computer,VisualAidDevice,VisualAid,,,
LaserPointer,DigitalPointer,Pointer,VisualAidDevice,VisualAid,,
Laughing,FacialExpression,Gesture,BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery
Layout,Clarity,PresentationAttribute,,,,
Leaning,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
LegGesture,Gesture,BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Legibility,Clarity,PresentationAttribute,,,,
LegsAndFeetSignal,BodyLanguageSignal,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
Length,PresentationAttribute,,,,,
List,Text,VisualAidArtefact,VisualAid,,,
Loudness,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
MainConcept,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
MainIdea,BodyComponentClosingComponentContentIntroduction,StructureComponentOpeningComponent,StructureStructureComponent,Structure,,
MainPoint,BodyComponent,StructureComponent,Structure,,,
MainThought,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Map,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,
MarkPen,VisualAidDevice,VisualAid,,,,
Marker,VisualAidDevice,VisualAid,,,,
MarkerPen,VisualAidDevice,VisualAid,,,,
Material,Prop,VisualAidArtefact,VisualAid,,,
Meaning,LanguageElement,VerbalCommunication,Delivery,,,
Memorability,Impact,PresentationAttribute,,,,
Memorable,Impact,PresentationAttribute,,,,
MentalPreparation,Preparation,Delivery,,,,
Message,Conclusion,ClosingComponent,StructureComponent,Structure,,
Metaphor,RhetoricalDevice,VerbalCommunication,Delivery,,,
Method,BodyComponent,StructureComponent,Structure,,,
Microphone,AudioSystem,VisualAidDevice,VisualAid,,,
Middle,StructureComponent,Structure,,,,
MobilePhone,Computer,VisualAidDevice,VisualAid,,,
Model,Prop,VisualAidArtefact,VisualAid,,,
Modulation,Prop,VisualAidArtefact,VisualAid,,,
Motivation,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Motivational,Impact,PresentationAttribute,,,,
MouthSignal,BodyLanguageSignal,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
MovingImage,Illustration,VisualAidArtefact,VisualAid,,,
Mumbling,Paralanguage,NonVerbalCommunication,Delivery,,,
Music,Audio,VisualAidArtefact,VisualAid,,,
Narrative,StructureApproach,Structure,,,,
Nervous,SpeakerEmotion,Delivery,,,,
Nervousness,SpeakerEmotion,Delivery,,,,
NonVerbalCommunication,Delivery,,,,,
NonVerbalSignpost,TransitionComponent,StructureComponent,Structure,,,
Note,VisualAidArtefact,VisualAid,,,,
Notes,VisualAidArtefact,VisualAid,,,,
Objective,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Open,StructureComponent,Structure,,,,
Opener,StructureComponent,Structure,,,,
Opening,StructureComponent,Structure,,,,
OpeningComponent,StructureComponent,Structure,,,,
OpeningEyes,EyeMotion,BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Organisation,PresentationAttribute,,,,,
Organization,PresentationAttribute,,,,,
Outcome,BodyComponent,StructureComponent,Structure,,,
Outfit,SpeakerAppearance,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Overload,Clarity,PresentationAttribute,,,,
PC,Computer,VisualAidDevice,VisualAid,,,
PDFReader,Slide,VisualAidArtefact,VisualAid,,,
Pace,Paralanguage,NonVerbalCommunication,Delivery,,,
Pacing,Paralanguage,NonVerbalCommunication,Delivery,,,
Paralanguage,NonVerbalCommunication,Delivery,,,,
Passion,SpeakerEmotion,Delivery,,,,
Patronising,SpeakerAura,Delivery,,,,
Pause,Paralanguage,NonVerbalCommunication,Delivery,,,
PersonalIntroduction,OpeningComponent,StructureComponent,Structure,,,
PersonalStory,PersonalIntroduction,OpeningComponent,StructureComponent,Structure,,
Personification,RhetoricalDevice,VerbalCommunication,Delivery,,,
Persuasive,Impact,PresentationAttribute,,,,
Phone,Computer,VisualAidDevice,VisualAid,,,
Photo,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,
Photograph,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,
PhysicalObject,Prop,VisualAidArtefact,VisualAid,,,
PhysicalPointer,Pointer,VisualAidDevice,VisualAid,,,
Picture,Figure,Illustration,VisualAidArtefact,VisualAid,,
PieChart,Chart,Figure,Illustration,VisualAidArtefact,VisualAid,
Pitch,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
Plan,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Plot,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Pointer,VisualAidDevice,VisualAid,,,,
Poster,VisualAidArtefact,VisualAid,,,,
Posture,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
PowerPoint,Slide,VisualAidArtefact,VisualAid,,,
PowerPosture,MentalPreparation,Preparation,Delivery,,,
Practice,Preparation,Delivery,,,,
Pragmatics,LanguageElement,VerbalCommunication,Delivery,,,
Preparation,Delivery,,,,,
PresentationAttribute,,,,,,
PresentationGoal,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
PresentationOverview,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
PresentationSlide,VisualAidArtefact,VisualAid,,,,
PresenterNotes,Notes,VisualAidArtefact,VisualAid,,,
Prezi,Slide,VisualAidArtefact,VisualAid,,,
Printout,VisualAidArtefact,VisualAid,,,,
ProblemSolutionStrategy,StructureApproach,Structure,,,,
Product,Prop,VisualAidArtefact,VisualAid,,,
ProductDisplay,Product,Prop,VisualAidArtefact,VisualAid,,
Projection,Paralanguage,NonVerbalCommunication,Delivery,,,
Projector,VisualAidDevice,VisualAid,,,,
Pronunciation,Paralanguage,NonVerbalCommunication,Delivery,,,
Prop,VisualAidArtefact,VisualAid,,,,
Prosody,Paralanguage,NonVerbalCommunication,Delivery,,,
Proxemic,NonVerbalCommunication,Delivery,,,,
Purpose,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
QandA,ClosingComponent,StructureComponent,Structure,,,
QuestionAnswer,ClosingComponent,StructureComponent,Structure,,,
Quotation,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Readability,Clarity,PresentationAttribute,,,,
Reason,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
RecordedFootage,Film,MovingImage,Illustration,VisualAidArtefact,VisualAid,
RecordedSpeech,RecordedVoice,Audio,VisualAidArtefact,VisualAid,,
RecordedVoice,Audio,VisualAidArtefact,VisualAid,,,
Reference,ClosingComponent,StructureComponent,Structure,,,
Rehearsal,Preparation,Delivery,,,,
Rehearse,Preparation,Delivery,,,,
Rememorable,Impact,PresentationAttribute,,,,
Result,BodyComponent,StructureComponent,Structure,,,
RhetoricalDevice,VerbalCommunication,Delivery,,,,
Schematic,Diagram,Figure,Illustration,VisualAidArtefact,VisualAid,
ScreenShot,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,
Section,BodyComponent,StructureComponent,Structure,,,
Semantics,LanguageElement,VerbalCommunication,Delivery,,,
Shivering,SpeakerEmotion,Delivery,,,,
Shoulder,Posture,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
